year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2000,ARKANSAS,Rogers,41002,,1,15,12,51,,109,1215,47,,1450,
2000,ARKANSAS,Russellville,26705,,,21,12,52,,210,1176,79,,1550,
2000,ARKANSAS,Searcy,19755,,,1,8,144,,91,884,38,,1166,
2000,ARKANSAS,Sherwood,22537,,,5,6,53,,80,995,95,,1234,
2000,ARKANSAS,Siloam Springs,11988,,2,2,1,17,,82,439,20,,563,
2000,ARKANSAS,Springdale,44364,,,18,15,73,,266,1146,106,,1624,
2000,ARKANSAS,Stuttgart,10194,,2,,6,40,,89,311,11,,459,
2000,ARKANSAS,Texarkana,25163,,1,21,51,143,,232,1438,77,,1963,
2000,ARKANSAS,Van Buren,21134,,1,3,2,29,,121,622,35,,813,
2000,ARKANSAS,West Memphis,28180,,6,23,111,182,,369,695,199,,1585,
2000,CALIFORNIA,Adelanto,16749,,2,4,14,99,,131,65,53,2,368,370
2000,CALIFORNIA,Agoura Hills,21554,,,2,10,24,,96,150,14,6,296,302
2000,CALIFORNIA,Alameda,77210,,1,9,110,182,,362,1842,329,33,2835,2868
2000,CALIFORNIA,Albany,17459,,,3,38,47,,110,381,86,2,665,667
2000,CALIFORNIA,Alhambra,86757,,4,9,144,96,,337,1116,414,19,2120,2139
2000,CALIFORNIA,Anaheim,307240,,11,84,428,890,,1570,5374,1552,65,9909,9974
2000,CALIFORNIA,Antioch,85882,,3,15,131,377,,515,1276,489,21,2806,2827
2000,CALIFORNIA,Apple Valley,59336,,5,11,40,130,,613,868,244,10,1911,1921
2000,CALIFORNIA,Arcadia,52346,,,2,58,79,,248,996,117,6,1500,1506
2000,CALIFORNIA,Arcata,16626,,,4,8,16,,136,554,22,10,740,750
2000,CALIFORNIA,Arroyo Grande,15974,,,4,3,10,,73,299,15,1,404,405
2000,CALIFORNIA,Artesia,16443,,,4,58,53,,89,181,82,4,467,471
2000,CALIFORNIA,Arvin,11916,,1,1,11,62,,110,222,62,17,469,486
